PERIOD,YEAR,STATS_VALUE
March,2022,20.3
April,2022,17.9
May,2022,15.2
June,2022,13.2
July,2022,13.1
August,2022,12.9
September,2022,13.6
October,2022,15.3
November,2022,17.7
December,2022,19.9
January,2023,20.4
February,2023,20.1
March,2023,18.2
April,2023,17.9
May,2023,15.7
June,2023,12.4
July,2023,12.2
August,2023,10.9
September,2023,14.2
October,2023,15.3
November,2023,16.7
December,2023,19.6
January,2024,21.6
February,2024,20.5
March,2024,17.8
April,2024,17
May,2024,13.1
June,2024,13.4
July,2024,11.6
August,2024,12.4
September,2024,14
October,2024,15.4
November,2024,17.1
December,2024,19.8
January,2025,19.9
February,2025,21.6
March,2025,19.3
April,2025,18.7
